AccessionNumber,doi,PubMedID,title,authors,source,citations,publicationDate,fieldCode,researchDesign,individualLevelData,firstContact,dateFirstResponse,responseCode,reasons,requirements,reasonsDetail
WOS:000234367100010,https://dx.doi.org/10.1176/appi.ajp.163.1.28,MEDLINE:16390886,Evaluation Of Outcomes With Citalopram For Depression Using Measurement-Based Care In Star*D: Implications For Clinical Practice,"TRIVEDI, MH;RUSH, AJ;WISNIEWSKI, SR;NIERENBERG, AA;WARDEN, D;RITZ, L;NORQUIST, G;HOWLAND, RH;LEBOWITZ, B;MCGRATH, PJ;SHORES-WILSON, K;BIGGS, MM;BALASUBRAMANI, GK;FAVA, M",AMER J PSYCHIAT 163 (1): 28-40 JAN 2006,1390,2006,PSYCHIATRY,randomizedClinicalTrial,Y,6/23/17,7/24/17,8,,B E G,
WOS:000236541200026,https://dx.doi.org/10.1176/appi.ajp.163.4.716,MEDLINE:16585449,The Prevalence And Correlates Of Adult Adhd In The United States: Results From The National Comorbidity Survey Replication,"KESSLER, RC;ADLER, L;BARKLEY, R;BIEDERMAN, J;CONNERS, CK;DEMLER, O;FARAONE, SV;GREENHILL, LL;HOWES, MJ;SECNIK, K;SPENCER, T;USTUN, TB;WALTERS, EE;ZASLAVSKY, AM",AMER J PSYCHIAT 163 (4): 716-723 APR 2006,1301,2006,PSYCHIATRY,epidemiologicalSurvey,Y,6/23/17,6/23/17,8,,B,
WOS:000241669900014,https://dx.doi.org/10.1176/appi.ajp.163.11.1905,MEDLINE:17074942,Acute And Longer-Term Outcomes In Depressed Outpatients Requiring One Or Several Treatment Steps: A Star*D Report,"RUSH, AJ;TRIVEDI, MH;WISNIEWSKI, SR;NIERENBERG, AA;STEWART, JW;WARDEN, D;NIEDEREHE, G;THASE, ME;LAVORI, PW;LEBOWITZ, BD;MCGRATH, PJ;ROSENBAUM, JF;SACKEIM, HA;KUPFER, DJ;LUTHER, J;FAVA, M",AMER J PSYCHIAT 163 (11): 1905-1917 NOV 2006,1237,2006,PSYCHIATRY,randomizedClinicalTrial,Y,6/23/17,7/12/17,8,,B E G,
WOS:000239573200003,https://dx.doi.org/10.1001/archpsyc.63.8.856,MEDLINE:16894061,A Randomized Trial Of An N-Methyl-D-Aspartate Antagonist In Treatment-Resistant Major Depression,"ZARATE, CA;SINGH, JB;CARLSON, PJ;BRUTSCHE, NE;AMELI, R;LUCKENBAUGH, DA;CHARNEY, DS;MANJI, HK",ARCH GEN PSYCHIAT 63 (8): 856-864 AUG 2006,1078,2006,PSYCHIATRY,randomizedClinicalTrial,Y,6/23/17,6/23/17,4,C,,
WOS:000238749600008,https://dx.doi.org/10.1001/archpsyc.63.7.757,MEDLINE:16818865,Two-Year Randomized Controlled Trial And Follow-Up Of Dialectical Behavior Therapy Vs Therapy By Experts For Suicidal Behaviors And Borderline Personality Disorder,"LINEHAN, MM;COMTOIS, KA;MURRAY, AM;BROWN, MZ;GALLOP, RJ;HEARD, HL;KORSLUND, KE;TUTEK, DA;REYNOLDS, SK;LINDENBOIM, N",ARCH GEN PSYCHIAT 63 (7): 757-766 JUL 2006,604,2006,PSYCHIATRY,randomizedClinicalTrial,Y,6/23/17,NA,0,,,
WOS:000240935900004,https://dx.doi.org/10.1001/archpsyc.63.10.1079,MEDLINE:17015810,Randomized Controlled Trial Of The Effect On Quality Of Life Of Second- Vs First-Generation Antipsychotic Drugs In Schizophrenia - Cost Utility Of The Latest Antipsychotic Drugs In Schizophrenia Study (Cutlass 1),"JONES, PB;BARNES, TRE;DAVIES, L;DUNN, G;LLOYD, H;HAYHURST, KP;MURRAY, RM;MARKWICK, A;LEWIS, SW",ARCH GEN PSYCHIAT 63 (10): 1079-U6 OCT 2006,592,2006,PSYCHIATRY,randomizedClinicalTrial,Y,6/23/17,6/26/17,3,,,
WOS:000242253400011,https://dx.doi.org/10.1002/gps.1610,MEDLINE:16977673,The Addenbrookes Cognitive Examination Revised (Ace-R): A Brief Cognitive Test Battery For Dementia Screening,"MIOSHI, E;DAWSON, K;MITCHELL, J;ARNOLD, R;HODGES, JR",INT J GERIAT PSYCHIAT 21 (11): 1078-1085 NOV 2006,541,2006,PSYCHIATRY,instrumentDevelopment,Y,6/23/17,7/13/17,5,,,
WOS:000241171600003,https://dx.doi.org/10.1007/s10803-006-0123-0,MEDLINE:16845581,Comorbid Psychiatric Disorders In Children With Autism: Interview Development And Rates Of Disorders,"LEYFER, OT;FOLSTEIN, SE;BACALMAN, S;DAVIS, NO;DINH, E;MORGAN, J;TAGER-FLUSBERG, H;LAINHART, JE",J AUTISM DEV DISORD 36 (7): 849-861 OCT 2006,534,2006,PSYCHIATRY,instrumentDevelopment,Y,6/23/17,NA,0,,,
WOS:000238749600015,https://dx.doi.org/10.1001/archpsyc.63.7.824,MEDLINE:16818872,Association Between Obesity And Psychiatric Disorders In The Us Adult Population,"SIMON, GE;VON KORFF, M;SAUNDERS, K;MIGLIORETTI, DL;CRANE, PK;VAN BELLE, G;KESSLER, RC",ARCH GEN PSYCHIAT 63 (7): 824-830 JUL 2006,508,2006,PSYCHIATRY,epidemiologicalSurvey,Y,6/23/17,6/23/17,4,D,,generated elsewhere
WOS:000236541200011,https://dx.doi.org/10.1176/appi.ajp.163.4.600,MEDLINE:16585434,"Effectiveness Of Clozapine Versus Olanzapine, Quetiapine, And Risperidone In Patients With Chronic Schizophrenia Who Did Not Respond To Prior Atypical Antipsychotic Treatment","MCEVOY, JP;LIEBERMAN, JA;STROUP, TS;DAVIS, SM;MELTZER, HY;ROSENHECK, RA;SWARTZ, MS;PERKINS, DO;KEEFE, RSE;DAVIS, CE;SEVERE, J;HSIAO, JK",AMER J PSYCHIAT 163 (4): 600-610 APR 2006,454,2006,PSYCHIATRY,randomizedClinicalTrial,Y,6/23/17,NA,0,,,
